title,description,short_description,sku,regular_price,sale_price,stock,categories,images,weight,dimensions
"Thảm lông xù","Thảm lông mềm mại, kích thước 160x230 cm.","Thảm lông, kích thước 160x230 cm.","DECOR-002",1500000,,30,"Decor|Rugs","",3,"160x230x1"
"Tranh treo tường","Tranh trừu tượng, kích thước 80x120 cm.","Tranh treo, kích thước 80x120 cm.","DECOR-003",800000,,40,"Decor|Wall Art","",2,"80x120x2"
"Gương tròn trang trí","Gương tròn khung kim loại, đường kính 80 cm.","Gương tròn, đường kính 80 cm.","DECOR-004",1000000,,25,"Decor|Mirrors","",3,"80x80x2"
"Bình hoa sứ","Bình hoa sứ trắng, chiều cao 30 cm.","Bình hoa, chiều cao 30 cm.","DECOR-005",300000,,60,"Decor|Vases","",1,"15x15x30"
"Bộ bàn ghế sân vườn","Bộ bàn ghế ngoài trời, chất liệu mây tre.","Bộ sân vườn, kích thước bàn 120x80x75 cm.","OUTDOOR-001",6000000,,10,"Outdoor Furniture|Patio Sets","",20,"120x80x75"
"Ghế sofa ngoài trời","Ghế sofa mây tre, đệm chống thấm.","Ghế sofa ngoài trời, kích thước 200x80x85 cm.","OUTDOOR-002",4000000,,15,"Outdoor Furniture|Outdoor Sofas","",15,"200x80x85"
"Bàn ngoài trời mây","Bàn mây tre, chống thời tiết.","Bàn ngoài trời, kích thước 100x60x70 cm.","OUTDOOR-003",2000000,,20,"Outdoor Furniture|Outdoor Tables","",8,"100x60x70"
"Ghế tắm nắng","Ghế tắm nắng nhôm, có thể điều chỉnh.","Ghế tắm nắng, kích thước 180x60x30 cm.","OUTDOOR-004",2500000,,12,"Outdoor Furniture|Sun Loungers","",10,"180x60x30"
"Băng ghế vườn","Băng ghế gỗ ngoài trời, chống thấm.","Băng ghế, kích thước 150x50x85 cm.","OUTDOOR-005",1500000,,18,"Outdoor Furniture|Garden Benches","",12,"150x50x85"
"Bàn làm việc hiện đại","Bàn làm việc gỗ, có kệ phụ.","Bàn làm việc, kích thước 120x60x75 cm.","OFFICE-001",3000000,,25,"Office Furniture|Desks","",15,"120x60x75"
"Ghế văn phòng công thái học","Ghế văn phòng bọc da, hỗ trợ lưng.","Ghế công thái học, kích thước 60x60x120 cm.","OFFICE-002",2500000,,30,"Office Furniture|Office Chairs","",10,"60x60x120"
"Tủ hồ sơ","Tủ hồ sơ thép, 4 ngăn khóa.","Tủ hồ sơ, kích thước 80x40x180 cm.","OFFICE-003",3500000,,15,"Office Furniture|Filing Cabinets","",20,"80x40x180"
"Nôi trẻ em","Nôi gỗ cho trẻ sơ sinh, có bánh xe.","Nôi trẻ em, kích thước 100x60x80 cm.","KIDS-001",2000000,,20,"Kids Furniture|Cribs","",10,"100x60x80"
"Bàn học trẻ em","Bàn học gỗ, điều chỉnh độ cao.","Bàn học, kích thước 80x50x70 cm.","KIDS-002",1500000,,25,"Kids Furniture|Study Desks","",8,"80x50x70"
"Tủ gương phòng tắm","Tủ gương tích hợp kệ, đèn LED.","Tủ gương, kích thước 80x15x70 cm.","BATH-001",2500000,,20,"Bathroom Furniture|Vanity Units","",10,"80x15x70"
"Nệm cao su tự nhiên","Nệm cao su 10cm, thoáng khí.","Nệm, kích thước 180x200x10 cm.","BEDDING-001",5000000,,15,"Mattresses & Bedding|Mattresses","",12,"180x200x10"
